PLAYER,RAW_STAT,NORMALIZED_STAT
Aaron Gordon,3-PT Attempted,3PT ATTEMPTED
Aaron Gordon,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Aaron Gordon,Blks+Stls,BLKS+STLS
Aaron Gordon,Blocked Shots,BLOCKED SHOTS
Aaron Gordon,Double-Double,DOUBLEDOUBLE
Aaron Gordon,FG Attempted,FG ATTEMPTED
Aaron Gordon,FG Made,FG MADE
Aaron Gordon,Free Throws Made,FREE THROWS MADE
Aaron Gordon,Personal Fouls,PERSONAL FOULS
Aaron Gordon,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Aaron Gordon,Pts+Asts,PTS+ASTS
Aaron Gordon,Pts+Rebs,PTS+REBS
Aaron Gordon,Pts+Rebs+Asts,PTS+REBS+ASTS
Aaron Gordon,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Aaron Gordon,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Aaron Gordon,Rebs+Asts,REBS+ASTS
Aaron Gordon,Turnovers,TURNOVERS
Aaron Gordon,Two Pointers Made,TWO POINTERS MADE
Ajay Mitchell,3-PT Attempted,3PT ATTEMPTED
Ajay Mitchell,Blks+Stls,BLKS+STLS
Ajay Mitchell,Blocked Shots,BLOCKED SHOTS
Ajay Mitchell,FG Attempted,FG ATTEMPTED
Ajay Mitchell,Free Throws Attempted,FREE THROWS ATTEMPTED
Ajay Mitchell,Free Throws Made,FREE THROWS MADE
Ajay Mitchell,Personal Fouls,PERSONAL FOULS
Ajay Mitchell,Pts+Asts,PTS+ASTS
Ajay Mitchell,Pts+Rebs,PTS+REBS
Ajay Mitchell,Pts+Rebs+Asts,PTS+REBS+ASTS
Ajay Mitchell,Rebs+Asts,REBS+ASTS
Ajay Mitchell,Turnovers,TURNOVERS
Ajay Mitchell,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Alex Caruso,3-PT Attempted,3PT ATTEMPTED
Alex Caruso,Blks+Stls,BLKS+STLS
Alex Caruso,Blocked Shots,BLOCKED SHOTS
Alex Caruso,FG Attempted,FG ATTEMPTED
Alex Caruso,FG Made,FG MADE
Alex Caruso,Free Throws Attempted,FREE THROWS ATTEMPTED
Alex Caruso,Personal Fouls,PERSONAL FOULS
Alex Caruso,Pts+Asts,PTS+ASTS
Alex Caruso,Pts+Rebs,PTS+REBS
Alex Caruso,Pts+Rebs+Asts,PTS+REBS+ASTS
